Date,Open,High,Low,Close,Adj Close,Volume
2015-12-22,26.850000,27.250000,26.545000,26.705000,24.410669,422885600
2015-12-29,26.740000,27.357500,25.500000,26.337500,24.074743,658826800
2016-01-05,26.437500,26.462500,24.107500,24.632500,22.516224,1303520800
2016-01-12,25.137501,25.297501,23.840000,24.282499,22.196293,1018391200
2016-01-19,24.602501,25.382500,23.355000,24.860001,22.724176,1180714400
2016-01-26,24.982500,25.219999,23.097500,24.107500,22.036329,1477942000
2016-02-02,23.855000,24.332500,23.260000,23.752501,21.711832,920930800
2016-02-09,23.572500,24.087500,23.147499,23.497499,21.595282,708403600
2016-02-16,23.754999,24.722500,23.652500,24.219999,22.259293,810388400
2016-02-23,24.100000,24.557501,23.330000,24.172501,22.215641,639953600
2016-03-01,24.412500,25.937500,24.355000,25.467501,23.405800,809665600
2016-03-08,25.195000,25.727501,25.037500,25.629999,23.555149,579046000
2016-03-15,25.990000,26.912500,25.962500,26.477501,24.334042,769999200
2016-03-22,26.312500,26.822500,26.222500,26.297501,24.168613,414769200
2016-03-29,26.222500,28.047501,26.219999,27.780001,25.531097,663639200
2016-04-05,27.377501,27.745001,27.030001,27.254999,25.048601,551095600
2016-04-12,27.334999,28.097500,26.735001,26.870001,24.694771,774896000
2016-04-19,26.969999,27.022499,26.127501,26.270000,24.143339,625052400
2016-04-26,25.977501,26.325001,23.100000,23.410000,21.514866,1478210400
2016-05-03,23.549999,23.975000,22.962500,23.197500,21.319572,841534400
2016-05-10,23.332500,23.597500,22.367500,23.469999,21.701340,977492800
2016-05-17,23.637501,24.297501,23.252501,24.107500,22.290798,757864000
2016-05-24,24.305000,25.182501,24.209999,25.087500,23.196945,663925600
2016-05-31,24.900000,25.472500,24.157499,24.657499,22.799349,653878000
2016-06-07,24.812500,24.997499,24.275000,24.334999,22.501154,558369600
2016-06-14,24.330000,24.620001,23.757500,23.775000,21.983353,752496000
2016-06-21,23.735001,24.222500,22.875000,23.010000,21.276003,871226800
2016-06-28,23.225000,24.117500,23.035000,23.972500,22.165972,555355200
2016-07-05,23.847500,24.412500,23.592501,24.245001,22.417936,546003600
2016-07-12,24.292500,25.032499,24.209999,24.957500,23.076740,622438400
2016-07-19,24.889999,25.250000,24.230000,24.334999,22.501154,605818000
2016-07-26,24.205000,26.537500,24.105000,26.512501,24.514563,1017424000
2016-08-02,26.512501,27.092501,26.000000,27.092501,25.050852,640074000
2016-08-09,27.057501,27.385000,26.940001,27.370001,25.444540,489347200
2016-08-16,27.407499,27.557501,26.962500,27.127501,25.219099,529293600
2016-08-23,27.147499,27.330000,26.572500,26.705000,24.826317,491022400
2016-08-30,26.450001,27.000000,26.375000,26.932501,25.037817,432121200
2016-09-06,26.975000,27.190001,25.632500,26.360001,24.505589,856386000
2016-09-13,26.877501,29.045000,26.809999,28.395000,26.397432,1559833600
2016-09-20,28.262501,28.735001,27.887501,28.219999,26.234737,735768400
2016-09-27,28.250000,28.660000,27.950001,28.129999,26.151070,592865600
2016-10-04,28.264999,29.187500,28.157499,29.012501,26.971491,562254400
2016-10-11,29.424999,29.672501,28.930000,29.387501,27.320112,784389200
2016-10-18,29.545000,29.552500,28.450001,29.412500,27.343348,461781200
2016-10-25,29.487499,29.590000,28.299999,28.385000,26.388134,852425200
2016-11-01,28.365000,28.442499,27.027500,27.602501,25.660683,649948400
2016-11-08,27.577499,27.930000,26.020000,26.427500,24.694481,903538000
2016-11-15,26.642500,27.997499,26.540001,27.932501,26.100790,705722000
2016-11-22,27.987499,28.117500,27.582500,27.892500,26.063412,368247200
2016-11-29,27.695000,28.049999,27.062500,27.277500,25.488743,650522000
2016-12-06,27.375000,28.750000,27.290001,28.325001,26.467550,576158000
2016-12-13,28.459999,29.344999,28.437500,29.160000,27.247795,785682400
2016-12-20,29.184999,29.375000,28.897499,29.129999,27.219759,342174400
2016-12-27,29.129999,29.504999,28.857500,28.955000,27.056240,339314400
2017-01-03,28.950001,29.857500,28.690001,29.747499,27.796766,549629600
2017-01-10,29.692499,29.982500,29.552500,29.760000,27.808449,420995200
2017-01-17,29.584999,30.202499,29.555000,30.020000,28.051397,553592800
2017-01-24,29.887501,30.610001,29.875000,30.407499,28.413490,531466400
2017-01-31,30.287500,32.625000,30.155001,32.572498,30.436508,984998400
2017-02-07,32.634998,33.455002,32.612499,33.322498,31.137331,530554800
2017-02-14,33.367500,34.067501,33.312500,33.930000,31.842464,454528400
2017-02-21,34.057499,34.369999,33.820000,34.232498,32.126335,432665200
2017-02-28,34.270000,35.070000,34.174999,34.834999,32.691776,515866400
2017-03-07,34.764999,34.994999,34.262501,34.799999,32.658924,381375600
2017-03-14,34.825001,35.375000,34.709999,35.365002,33.189175,502639600
2017-03-21,35.527500,35.700001,34.654999,35.220001,33.053085,526828400
2017-03-28,35.227501,36.125000,35.154999,35.924999,33.714714,493678000
2017-04-04,35.812500,36.365002,35.724998,35.792500,33.590355,417455600
2017-04-11,35.735001,35.837502,35.014999,35.457500,33.275970,340537600
2017-04-18,35.352501,35.987499,35.112499,35.910000,33.700630,359202800
2017-04-25,35.977501,36.799999,35.817501,36.645000,34.390411,430489200
2017-05-02,36.884998,38.424999,36.067501,38.252499,35.899014,762004800
2017-05-09,38.467499,39.162498,38.027500,38.924999,36.530136,602911600
2017-05-16,38.985001,39.014999,37.427502,38.497501,36.278069,617246400
2017-05-23,38.724998,38.724998,38.167500,38.402500,36.188538,321040400
2017-05-30,38.355000,38.862499,38.055000,38.482498,36.263924,456338400
2017-06-06,38.474998,38.994999,35.627499,36.355000,34.259079,824541200
2017-06-13,36.790001,36.875000,35.549999,36.584999,34.475822,723058000
2017-06-20,36.717499,37.070000,36.152500,36.455002,34.353317,505616000
2017-06-27,36.252499,36.540001,35.570000,35.875000,33.806755,462582400
2017-07-04,35.922501,36.487499,35.602501,36.264999,34.174267,343962800
2017-07-11,36.182499,37.724998,36.095001,37.389999,35.234421,455165200
2017-07-18,37.299999,38.110001,37.167500,38.022499,35.830441,415125200
2017-07-25,37.950001,38.497501,36.825001,37.182499,35.038872,416683200
2017-08-01,37.275002,39.937500,37.102501,39.702499,37.413597,699331600
2017-08-08,39.650002,40.457500,38.657501,39.962502,37.658604,606086000
2017-08-15,40.165001,40.627499,38.777500,39.302502,37.182098,555497200
2017-08-22,39.557499,40.500000,39.505001,40.367500,38.189648,449074800
2017-08-29,40.025002,41.235001,40.000000,41.012501,38.799831,400650800
2017-09-05,40.937500,41.062500,39.632500,40.375000,38.196735,532964000
2017-09-12,40.652500,40.990002,39.477501,39.667500,37.527405,871064400
2017-09-19,39.877499,39.942501,37.290001,37.637501,35.606934,809225600
2017-09-26,37.945000,38.680000,37.922501,38.452499,36.377956,516673200
2017-10-03,38.502499,39.182499,38.115002,38.959999,36.858082,365393600
2017-10-10,39.014999,40.000000,38.775002,39.970001,37.813583,356653600
2017-10-17,39.945000,40.217499,38.755001,39.042500,36.936123,495656400
2017-10-24,39.072498,42.017502,38.817501,41.680000,39.431320,580479200
2017-10-31,41.974998,43.747501,41.320000,43.562500,41.212265,822011600
2017-11-07,43.477501,44.060001,43.285000,43.492500,41.146038,481524800
2017-11-14,43.259998,43.369999,42.095001,42.494999,40.346874,462960000
2017-11-21,42.695000,43.875000,42.695000,43.522499,41.322441,341854800
2017-11-28,43.575001,43.717499,41.790001,42.450001,40.304150,727696400
2017-12-05,42.264999,43.222500,41.615002,43.167500,40.985382,560850000
2017-12-12,43.037498,44.299999,42.865002,44.105000,41.875504,533178000
2017-12-19,43.757500,44.005001,43.312500,43.752499,41.540817,352845200
2017-12-26,42.700001,42.962502,42.305000,42.307499,40.168861,388655200
2018-01-02,42.540001,43.902500,42.314999,43.587502,41.384163,486944800
2018-01-09,43.637501,44.340000,43.250000,44.272499,42.034527,358518800
2018-01-16,44.474998,45.025002,43.767502,44.250000,42.013172,618719200
2018-01-23,44.325001,44.860001,41.767502,41.990002,39.867409,860426400
2018-01-30,41.382500,42.154999,39.000000,39.122501,37.144859,1140360800
2018-02-06,38.707500,40.972500,37.560001,40.677502,38.621258,1222940000
2018-02-13,40.487499,43.705002,40.412498,43.107498,41.095284,658069600
2018-02-20,43.012501,44.847500,42.752499,44.742500,42.653965,697474400
2018-02-27,44.775002,45.154999,43.112499,44.205002,42.141567,769470400
2018-03-06,44.477501,45.597500,43.567501,45.430000,43.309372,574633600
2018-03-13,45.647499,45.875000,43.415001,43.825001,41.779297,626628800
2018-03-20,43.810001,44.200001,41.235001,43.192501,41.176327,707060400
2018-03-27,43.419998,43.787498,41.117500,41.669998,39.724888,634305600
2018-04-03,41.910000,43.557499,41.192501,42.512501,40.528072,623358800
2018-04-10,43.250000,44.047501,42.882500,43.955002,41.903217,481728800
2018-04-17,44.122501,44.735001,41.022499,41.310001,39.381699,736701200
2018-04-24,41.417500,41.814999,40.157501,41.314999,39.386456,672481200
2018-05-01,41.602501,46.917500,41.317501,46.290001,44.129238,1011318800
2018-05-08,46.247501,47.592499,45.917500,47.037498,44.841839,506377200
2018-05-15,46.695000,47.317501,46.275002,46.907501,44.890347,387483200
2018-05-22,47.095001,47.412498,46.439999,47.145000,45.117626,303976400
2018-05-29,46.900002,48.355000,46.535000,47.957500,45.895199,473584400
2018-06-05,48.267502,48.549999,47.442501,47.807499,45.751648,435248400
2018-06-12,47.847500,48.220001,46.799999,47.185001,45.155914,561454800
2018-06-19,46.285000,47.087502,45.182499,45.542500,43.584042,555130400
2018-06-26,45.747501,46.825001,45.634998,46.794998,44.782681,430754800
2018-07-03,46.947498,47.669998,45.884998,47.645000,45.596130,271203200
2018-07-10,47.677502,48.162498,46.902500,47.727501,45.675083,321474800
2018-07-17,47.437500,48.137501,47.299999,47.902500,45.842560,355521200
2018-07-24,48.112499,48.990002,47.267502,47.477501,45.435841,398149200
2018-07-31,47.575001,52.312500,47.334999,52.267502,50.019848,914342000
